2024-10-12 14:26:40,814 I(3684|3704)[SP_KPI][Media][OPEN_CAMERA]: 1111ms
2024-10-12 14:26:41,941 I(3684|4257)[SP_KPI][Media][OPEN_CAMERA]: 45ms
2024-10-12 14:26:42,876 I(3684|3856)[ME10]release
2024-10-12 14:26:42,899 I(3684|3856)[ME1]release
2024-10-12 14:26:42,925 I(3684|3856)[ME2]release
2024-10-12 14:26:42,952 I(3684|3856)[ME3]release
2024-10-12 14:26:42,973 I(3684|3856)[ME4]release
2024-10-12 14:26:42,998 I(3684|3856)[ME5]release
2024-10-12 14:26:43,020 I(3684|4257)[ME6]release
2024-10-12 14:26:43,045 I(3684|4257)[ME8]release
2024-10-12 14:26:43,183 I(3684|3856)[ME1]stop
2024-10-12 14:26:43,184 I(3684|3856)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:26:43,185 I(3684|3856)[SP_KPI][Media][STOP_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-12 14:26:43,193 I(3684|3856)[ME1]release
2024-10-12 14:26:43,194 I(3684|3856)[SP_KPI][Media][RELEASE_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:26:43,195 I(3684|3856)[SP_KPI][Media][RELEASE_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-12 14:28:10,980 I(3684|5014)[SP_KPI][Media][OPEN_CAMERA]: 40ms
2024-10-12 14:28:57,648 I(3684|5432)[SP_KPI][Media][OPEN_CAMERA]: 24ms
2024-10-12 14:29:14,590 I(5973|6010)[ME2147483646]release
2024-10-12 14:29:14,708 I(5973|5989)[SP_KPI][Media][OPEN_CAMERA]: 54ms
2024-10-12 14:29:15,607 I(5973|5989)[SP_KPI][Media][OPEN_CAMERA]: 20ms
2024-10-12 14:29:22,466 I(5973|6036)[SP_KPI][Media][OPEN_CAMERA]: 18ms
2024-10-12 14:29:25,804 I(5973|6036)[SP_KPI][Media][OPEN_CAMERA]: 587ms
2024-10-12 14:29:29,941 I(5973|6080)[SP_KPI][Media][OPEN_CAMERA]: 27ms
2024-10-12 14:29:39,544 I(5973|7081)[SP_KPI][Media][OPEN_CAMERA]: 26ms
2024-10-12 14:29:43,176 I(5973|6146)[SP_KPI][Media][OPEN_CAMERA]: 49ms
2024-10-12 14:30:42,641 I(5973|6080)[SP_KPI][Media][OPEN_CAMERA]: 23ms
2024-10-12 14:30:49,353 I(5973|6080)[SP_KPI][Media][OPEN_CAMERA]: 24ms
2024-10-12 14:30:55,169 I(5973|6146)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-12 14:30:55,477 I(5973|5990)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:30:55,483 I(5973|5990)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-12 14:30:56,616 I(5973|7952)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-12 14:30:56,679 I(5973|5990)[SP_KPI][Media][START_RECORDER] end
2024-10-12 14:30:57,718 I(5973|7870)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-12 14:31:00,804 I(5973|6364)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:31:48,435 I(5973|7859)[SP_KPI][Media][OPEN_CAMERA]: 35ms
2024-10-12 14:33:09,359 I(5973|8787)[SP_KPI][Media][OPEN_CAMERA]: 23ms
2024-10-12 14:33:14,113 I(5973|5989)[SP_KPI][Media][OPEN_CAMERA]: 21ms
2024-10-12 14:33:20,224 I(5973|7859)[SP_KPI][Media][OPEN_CAMERA]: 36ms
2024-10-12 14:33:20,373 I(5973|8787)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:33:20,375 I(5973|8787)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-12 14:33:20,466 I(5973|9213)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-12 14:33:20,525 I(5973|8787)[SP_KPI][Media][START_RECORDER] end
2024-10-12 14:33:21,630 I(5973|9193)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-12 14:33:33,219 I(5973|8255)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:47:50,011 I(5973|8255)[SP_KPI][Media][OPEN_CAMERA]: 26ms
2024-10-12 14:47:53,771 I(5973|6036)[SP_KPI][Media][OPEN_CAMERA]: 581ms
2024-10-12 14:48:08,032 I(5973|8787)[SP_KPI][Media][OPEN_CAMERA]: 35ms
2024-10-12 14:48:08,173 I(5973|7859)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:48:08,175 I(5973|7859)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-12 14:48:08,264 I(5973|10434)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-12 14:48:08,328 I(5973|7859)[SP_KPI][Media][START_RECORDER] end
2024-10-12 14:48:09,421 I(5973|10414)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-12 14:48:20,858 I(5973|7859)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 14:48:36,110 I(5973|6036)[SP_KPI][Media][OPEN_CAMERA]: 22ms
2024-10-12 14:49:33,791 I(3680|3740)[ME2147483646]release
2024-10-12 14:49:35,264 I(3680|3728)[SP_KPI][Media][OPEN_CAMERA]: 1280ms
2024-10-12 14:49:36,017 I(3680|4252)[SP_KPI][Media][OPEN_CAMERA]: 33ms
2024-10-12 14:49:36,942 I(3680|3728)[ME10]release
2024-10-12 14:49:36,974 I(3680|3728)[ME1]release
2024-10-12 14:49:36,999 I(3680|4252)[ME2]release
2024-10-12 14:49:37,023 I(3680|4252)[ME3]release
2024-10-12 14:49:37,050 I(3680|4252)[ME4]release
2024-10-12 14:49:37,076 I(3680|4252)[ME5]release
2024-10-12 14:49:37,095 I(3680|3728)[ME6]release
2024-10-12 14:49:37,115 I(3680|3728)[ME8]release
2024-10-12 14:49:37,155 I(3680|3728)[ME1]stop
2024-10-12 14:49:37,158 I(3680|3728)[ME1]release
2024-10-12 14:49:56,364 I(3680|5009)[SP_KPI][Media][OPEN_CAMERA]: 24ms
2024-10-12 17:15:53,490 I(3744|3824)[ME2147483646]release
2024-10-12 17:15:54,197 I(3744|3775)[SP_KPI][Media][OPEN_CAMERA]: 469ms
2024-10-12 17:15:55,786 I(3744|3763)[SP_KPI][Media][OPEN_CAMERA]: 30ms
2024-10-12 17:15:56,778 I(3744|3763)[ME10]release
2024-10-12 17:15:56,823 I(3744|3763)[ME1]release
2024-10-12 17:15:56,846 I(3744|3763)[ME2]release
2024-10-12 17:15:56,864 I(3744|4292)[ME3]release
2024-10-12 17:15:56,876 I(3744|4292)[ME4]release
2024-10-12 17:15:56,889 I(3744|3953)[ME5]release
2024-10-12 17:15:56,904 I(3744|3953)[ME6]release
2024-10-12 17:15:56,924 I(3744|3953)[ME8]release
2024-10-12 17:15:56,957 I(3744|3953)[ME1]stop
2024-10-12 17:15:56,961 I(3744|3953)[ME1]release
2024-10-12 17:16:06,783 I(3744|5166)[SP_KPI][Media][OPEN_CAMERA]: 21ms
2024-10-12 17:16:10,669 I(3744|4281)[SP_KPI][Media][OPEN_CAMERA]: 126ms
2024-10-12 17:16:17,583 I(3744|5101)[SP_KPI][Media][OPEN_CAMERA]: 33ms
2024-10-12 17:16:17,750 I(3744|3775)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 17:16:17,754 I(3744|3775)[RCD8_ME101]startVideoStream, encoder:5,remoteIp valid:false,ports:-*******/-*******,colorReversed:false,quality:1280x720_25_1800000_2,mVideoPT:104,mExtraBytesNum:0
2024-10-12 17:16:17,896 I(3744|5625)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: true
2024-10-12 17:16:17,953 I(3744|3775)[SP_KPI][Media][START_RECORDER] end
2024-10-12 17:16:18,993 I(3744|5582)[SP_KPI][Media][CODEC_FIRST_DATA]: Poll first Codec data, isAudio: false
2024-10-12 17:21:33,660 I(3744|5851)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-12 19:01:37,120 I(3567|3596)[ME2147483646]release
2024-10-12 19:01:37,695 I(3567|3797)[SP_KPI][Media][OPEN_CAMERA]: 153ms
2024-10-12 19:01:39,061 I(3567|4175)[SP_KPI][Media][OPEN_CAMERA]: 38ms
2024-10-12 19:01:41,480 I(3567|3844)[ME10]release
2024-10-12 19:01:41,502 I(3567|4175)[ME1]release
2024-10-12 19:01:41,523 I(3567|4175)[ME2]release
2024-10-12 19:01:41,550 I(3567|4175)[ME3]release
2024-10-12 19:01:41,584 I(3567|4175)[ME4]release
2024-10-12 19:01:41,619 I(3567|4099)[ME5]release
2024-10-12 19:01:41,647 I(3567|4175)[ME6]release
2024-10-12 19:01:41,678 I(3567|4175)[ME8]release
2024-10-12 19:01:41,683 I(3567|4175)[ME1]stop
2024-10-12 19:01:41,699 I(3567|4175)[ME1]release
2024-10-14 15:12:56,046 I(3917|4143)[ME2147483646]release
2024-10-14 15:12:56,390 I(3917|3949)[SP_KPI][Media][OPEN_CAMERA]: 114ms
2024-10-14 15:12:57,354 I(3917|4359)[SP_KPI][Media][OPEN_CAMERA]: 50ms
2024-10-14 15:12:58,499 I(3917|3942)[ME10]release
2024-10-14 15:12:58,539 I(3917|3942)[ME1]release
2024-10-14 15:12:58,576 I(3917|3942)[ME2]release
2024-10-14 15:12:58,600 I(3917|3942)[ME3]release
2024-10-14 15:12:58,625 I(3917|3942)[ME4]release
2024-10-14 15:12:58,650 I(3917|3942)[ME5]release
2024-10-14 15:12:58,675 I(3917|4271)[ME6]release
2024-10-14 15:12:58,701 I(3917|3942)[ME8]release
2024-10-14 15:12:58,893 I(3917|4359)[ME1]stop
2024-10-14 15:12:58,894 I(3917|4359)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-10-14 15:12:58,895 I(3917|4359)[SP_KPI][Media][STOP_PLAYER][MAINTENANCE_MEDIA] begin
2024-10-14 15:12:58,903 I(3917|3942)[ME1]release
